"Sr.No","Type","Name of the University","Address","Zip","state","Status"
"214","Private","Chitkara  University","Chandigarh-Patiala National Highway, Village Jhansla, Tehsil Rajpura, District Patiala","140401","Punjab","2(f) & 12(B)"
"215","Private","Chitkara University","HIMUDA Education HubPinjore-Barotiwala Highway (NH_21A)Solan,","174 103","Himachal Pradesh","2(f)"
"216","State","Choudhary Charan Singh Haryana Agricultural Univeersity","Directorate of Human resource Management","125004","Haryana","2(f) & 12(B)"
"217","Deemed to be Universities","Christ","Hosur Road, DRC Post, Bangalore","560029","Karnataka","Section-III"
"218","State","Cluster University","Silver Jubilee Government College Campus, Kurnool","518007","Andhra Pradesh","2(f)"
"219","State","Cluster University of Jammu","Adjoining G.G.M. Science College,Canal Road,Jammu","180016","Jammu and Kashmir","2(f)"
"220","State","Cluster University of Srinagar","Gogji-Bagh,Srinagar","190008","Jammu and Kashmir","2(f)"
"221","Private","CMJ University","GS road,Jorabat, Right-bhoi district, meghalayaRi-Bhoi DistrictMeghalay","793101","Meghalaya","2(f)"
"222","Private","CMR University","#2, 3rd C Cross, 6th A Main, HEBR Layout, Kalyananagar, BangaloreIInd Block, HRBR Layout,Kalyan Nagar, Bangolare","560043","Karnataka","2(f)"
"223","State","Cochin Unviersity of Science & Technology","Cochin University of Science and technology, Kochi, Ernakulam, Kerala State","682022","Kerala","2(f) & 12(B)"
"224","State","COEP Technological University","Wellesley Road,Shivajinagar,Pune","411005","Maharashtra","2(f)"
"225","Private","COER University","7KM. on Roorkee -Haridwar Road, Vardhmanpuram, Roorkee","247667","Uttarakhand","2(f)"
"226","State","Cooch Behar Panchanan Barma University","COOCH BEHAR PANCHANAN BARMA UNIVERSITY, Panchanan Nagar, Vivekananda Street, Cooch Behar - 736101, West Bengal, IndiaCooch Behar","736101","West Bengal","2(f)"
"227","State","Cotton University","PANBAZAR,Guwahati","781001","Assam","2(f) & 12(B)"
"228","Private","CT University","VPO-SIDHWAN KHURD, CHOWKI MANN, TEHSIL-JAGRAON, LUDHIANALudhiana","142024","Punjab","2(f)"
"229","Private","D Y Patil International University","Sector No. 29, Pradhikaran, Akurdi, PuneAkurdi,Pune","411044","Maharashtra","2(f)"
"230","Deemed to be Universities","D. Y. Patil","Sector - 07, Nerul, Navi Mumbai","400706","Maharashtra","Section-III"
"231","Private","D. Y. Patil  Agriculture and Technical University","TalsandeKolhapur","416112","Maharashtra","2(f)"
"232","Private","D. Y. Patil University","Sr No 124 & 126, Ambi, Tal-Maval, MIDC Road, Talegaon Dabhade,Pune","410507","Maharashtra","2(f)"
"233","Private","D.A.V University","Village Sarmastpur, Jalandhar-Pathankot National Highway, JalandharSamastpur Village, Jalandhar, India","144012","Punjab","2(f)"
"234","Deemed to be Universities","D.Y Patil Educational Society","869 E ward Line Bazar,  Kasaba Bavada, Kolhapur","416006","Maharashtra","Section-III"
"235","State","Dada Lakhmi Chand State University of Performing and Visual Arts (SUPVA)","Sector-6, Near Rajiv Gandhi Stadium, Rohtak","124001","Haryana","2(f)"
"236","State","Dakshin Dinajpur University","North Chakbhabani (near LIC office)Balurghat, Dakshin Dinajpur","733101","West Bengal","2(f)"
"237","State","Damodaram Sanjivayya National Law University","Sabbavaram, Pedawaltair, Visakhapatnam","531035","Andhra Pradesh","2(f) & 12(B)"
"238","State","Darjeeling Hills University","Jogighat MangpuDist.- Darjeeling,","734313","West Bengal","2(f)"
"239","Private","Darshan University","Rajkot-Morbi Highway, Distt. Rajkot","363650","Gujarat","2(f)"
"240","Deemed to be Universities","Datta Meghe Institute of Higher Education and Research","Sawangi (Meghe), Wardha","442107","Maharashtra","Section-III & 12(B)"
"241","State","Davangere University","Davangere University, Shivagangotri, DavangereDavangere Karnataka-577002","577007","Karnataka","2(f) & 12(B)"
"242","Deemed to be Universities","Dayalbagh Educational Institute","Dayalbagh, Agra","282005","Uttar Pradesh","Section-III & 12(B)"
"243","Private","Dayananda Sagar University","Innovation Campus  ,  Hosur  Main Road , Kudlu Gate , BangaloreKumaraswamy Layout, BangloreKarnataka","560114","Karnataka","2(f)"
"244","Private","DBS Global University","122 MI, Behind Pharma City, Selaqui, Dehradun","248011","Uttarakhand","2(f)"
"245","Deemed to be Universities","Deccan College Postgraduate & Research Institute","Deccan College Road, Yerawada, Pune","411006","Maharashtra","Section-III"
"246","State","Deen Bandhu Chhotu Ram University of Sciences & Technology","50th K.M. Stone, N.H. 1, Murthal (Sonepat) Haryana, India","131039","Haryana","2(f) & 12(B)"
"247","State","Deen Dayal Upadhyay Gorakhpur University","Civil Lines, GorakhpurPIN - 273 009. (U.P.)","273009","Uttar Pradesh","2(f) & 12(B)"
"248","Deemed to be Universities","Defence Institute of Advanced Technology","Girinagar, Pune","411025","Maharashtra","Section-III"
"249","State","Delhi Pharmaceutical Sciences & Research University","M.B. Road, Sector - III, Pushp Vihar","110017","Delhi","2(f)"
"250","State","Delhi Skill and Entrepreneurship University","Integrated Institute of Technology Complex, Sector-9, Dwarka","110007","Delhi","2(f)"
"251","State","Delhi Sports University","Ludlow Castle Sports ComplexShamnath MargDelhi","110054","Delhi","2(f)"
"252","State","Delhi Teachers University","P 625 & 745, Outram Lane, New Delhi","110009","Delhi","2(f)"
"253","State","Delhi Technological University","Shahbad Daultapur, Bawana Road, Rohini","110042","Delhi","2(f) & 12(B)"
"254","Private","DES Pune University","Pune Mukunddas Lohia Academic Complex, BMCC, Shivaninagar, Taluka-Haveli, Pune","411004","Maharashtra","2(f)"
"255","Private","Desh Bhagat University","Desh Bhagat University, Village Saunti, Tehsil Amloh, District Fatehgarh Sahib, Punjab 147203 Mandi Gobindgarh (Pb.)","147203","Punjab","2(f) & 12(B)"
"256","Private","Dev Bhoomi Uttarakhand University","Navgaon, ManduwalaDehradun","","Uttarakhand","2(f)"
"257","Private","Dev Sanskriti Vishwavidyalaya","Village Sankra Kumhari,District Durg","490042","Chhattisgarh","2(f)"
"258","Private","Dev Sanskriti Vishwavidyalaya","Gayatrikunj, Shantikunj, Haridwar","249411","Uttarakhand","2(f)"
"259","State","Devi Ahilya Vishwavidyalaya","R.N.Tagore Marg,Indore","452 001","Madhya Pradesh","2(f) & 12(B)"
"260","Private","Dhanalakshmi Srinivasan University","SamayapuramTiruchirapalli","621112","Tamil Nadu","2(f)"
"261","State","Dhanamanjuri University","Imphal, Manipur","795001","Manipur","2(f)"
"262","State","Dharmashastra National Law University","BRBRAITT Campus South Civil Lines ,Ridge Road Jabalpur Ridge Road,Civil Lines, Jabalpur","482001","Madhya Pradesh","2(f)"
"263","State","Dharmsinh Desai University","P.Box No. 35 College Road, Nadiad","387001","Gujarat","2(f) & 12(B)"
"264","Private","Dhirubhai Ambani University (Formerly Dhirubhai Ambani Institute of Information and Communication Technology, Gandhinagar)","DAIICT, Near Indroda Circle, Gandhinagar","382007","Gujarat","2(f)"
"265","State","Diamond Harbour Women's University","Sarisha, Diamond Harbour Road, South 24 Parganas, West BengalDiamond Harbour Road, District: South 24 paraganas,","743368","West Bengal","2(f) & 12(B)"
"266","State","Dibrugarh University","Rajabheta,Dibrugarh","786004","Assam","2(f) & 12(B)"
"267","Private","DIT University","Mussoorie Diversion Road, Makkawala, P.O. Bhagwantpur, Dehradun, UttarakhandMakkawala, Dehradun","248 009","Uttarakhand","2(f)"
"268","State","Doon University","Campus Office388/2, Indira NagarDehradun","248001","Uttarakhand","2(f) & 12(B)"
"269","Private","Dr C V Raman University","village & post CHHAIGAON MAKHAN,Dist-KhandwaPost-Chhaigaon MakhanKhandwa","450771","Madhya Pradesh","2(f)"
"270","Private","Dr C. V. Raman University","Block-Bhagwanpur, NH-77, Distt.- Vaishali","844114","Bihar","2(f)"
"271","Private","Dr K N Modi University","Area ph-II, Post Box No.01, Newai, Distt. Tonk","304021","Rajasthan","2(f) & 12(B)"
"272","State","Dr Y. S. R. Architecture & Fine Arts University","Chinnamachupalli, Chenur, Rayalapanthulapalle","516162","Andhra Pradesh","2(f)"
"273","Private","Dr. A.P.J Abdul Kalam University","Indore Dewas Bypass, Arandia, IndoreVillage- Arandia, Post- Jhalaria,Indore","452016","Madhya Pradesh","2(f)"
"274","State","Dr. A.P.J. Abdul Kalam Technical University","Jankipuram ExtensionJankipuram Extension Yojna,Lucknow","226031","Uttar Pradesh","2(f) & 12(B)"
"275","State","Dr. Abdul Haq Urdu University","Pandipadu Village, Gooty Rd, Kurnool","518002","Andhra Pradesh","2(f)"
"276","State","Dr. B. R. Ambedkar University","Ambedkar University Road,Etcherla,Dist. Srikakulam","532410","Andhra Pradesh","2(f) & 12(B)"
"277","State","Dr. B. R. Ambedkar University of Social Sciences","Dr. Ambedkar Nagar, Mhow-453441Dist-Indore, MP","453441","Madhya Pradesh","2(f) & 12(B)"
"278","State","Dr. B.R. Ambedkar National Law University","Dr. B.R. Ambedkar National Law University, Plot No. 5, Rajiv Gandhi Education City (RGEC), National Capital Region, P.O. Rai, Sonipat, HaryanaSonipat,","131029","Haryana","2(f)"
"279","State","Dr. B.R. Ambedkar University","Paliwal Park,Agra","282 004","Uttar Pradesh","2(f) & 12(B)"
"280","State","Dr. B.R. Ambedkar University","Lothian Road, Kashmere Gate","110006","Delhi","2(f) & 12(B)"
"281","State","Dr. B.R.Ambedkar Open University","Prof. G. Ram Reddy Marg, Road No. 46, Jubilee Hills, HyderabadHyderabad - 500 033.","500033","Telangana","2(f) & 12(B)"
"282","State","Dr. Babasaheb Ambedkar Marathwada University","University Campus, Near Soneri Mahal, Jaisingpura, Aurangabad","431004","Maharashtra","2(f) & 12(B)"
"283","State","Dr. Babasaheb Ambedkar Open University","Jyotirmay' Parisar, Dr Babasaheb Ambedkar Open University Marg,Sarkhej Gandhinagar Highway, Chharodi, Ahmedabad","382481","Gujarat","2(f) & 12(B)"
"284","State","Dr. Babasaheb AmbedkarTechnological University","Dr. Babasaheb Ambedkar Technological University LonereVidyavihar, A/P Lonere, Tal. Mangaon, Dist. Raigad, Maharashtra, 402013Lonere-402103, Dt-Raigad.","402103","Maharashtra","2(f) & 12(B)"
"285","State","Dr. Bhimrao Ambedkar Law University","J.L.N Marg, Jaipur","302015","Rajasthan","2(f)"
"286","Private","Dr. C.V. Raman University","Kargi Road Kota, Bilaspur, Distt. Bilaspur","495113","Chhattisgarh","2(f)"
"287","Private","Dr. D.Y. Patil Dnyan Prasad","Sant Tukaram Nagar, Pimpri Chinchwad, Survey Nos. 180/2/1 and 180/2/2, Taluka Haveli, Pune and also at Survey Nos 87/1, 88, 138/1A, 138/1B and 62/4/3, Tathwade, Pune","411018","Maharashtra","2(f)"
"288","Deemed to be Universities","Dr. D.Y. Patil Vidyapeeth","Sant Tukaram Nagar, Pimpri, Pune","411018","Maharashtra","Section-III & 12(B)"
"289","Central","Dr. Harisingh Gour Vishwavidyalaya","Sagar,Gour Nagar,Patharia Hills","470003","Madhya Pradesh","2(f) & 12(B)"
"290","State","Dr. Homi Bhabha State University","15, Madam Cams Road, Fort, Mumbai15 Madame Cama Road,Mumbai","400032","Maharashtra","2(f)"
"291","Deemed to be Universities","Dr. M.G.R. Educational and Research Institute","E.V.R Periyar Salai (NH4 Highway), Maduravoyal, Chennai","600095","Tamil Nadu","Section-III"
"292","State","Dr. N.T.R. University of Health Sciences","near Ramavarappadu,Vijayawada","520008","Andhra Pradesh","2(f)"
"293","Private","Dr. P. A. Inamdar University","K. B. Hidayatullah Road, Azam Campus, Camp, Pune","411001","Maharashtra","2(f)"
"294","Private","Dr. Preeti Global University","Gram Dinara, Teh Karera,District-Shivpuri","473665","Madhya Pradesh","2(f)"
"295","State","Dr. Punjabrao Deshmukh Krishi Vidyapeeth","Krishi Nagar Post Office, AKOLA, MaharashtraAkola - 444 104.","444104","Maharashtra","2(f) & 12(B)"
"296","Central","Dr. Rajendra Prasad Central Agricultural University","Pusa, Samastipur","848125","Bihar","2(f) & 12(B)"
"297","State","Dr. Rajendra Prasad National Law University","Gaddopur, Phaphamau, Prayagraj","211013","Uttar Pradesh","2(f)"
"298","State","Dr. Ram Manohar Lohia Awadh University","Allahabad Road Faizabad, Ayodhya","224001","Uttar Pradesh","2(f) & 12(B)"
